Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value
ParallelCode.Execute;CodeSharp.Concurrency.BackgroundWorkers;ParallelCode;Execute;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Core 3.1;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Job-UHCSTJ(Runtime=.NET Core 3.1);;1;Overhead;Jitting;1;189600;1;189600
ParallelCode.Execute;CodeSharp.Concurrency.BackgroundWorkers;ParallelCode;Execute;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Core 3.1;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Job-UHCSTJ(Runtime=.NET Core 3.1);;1;Workload;Jitting;1;9025500;1;9025500
ParallelCode.Execute;CodeSharp.Concurrency.BackgroundWorkers;ParallelCode;Execute;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Core 3.1;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Job-UHCSTJ(Runtime=.NET Core 3.1);;1;Overhead;Jitting;2;192600;16;12037.5
ParallelCode.Execute;CodeSharp.Concurrency.BackgroundWorkers;ParallelCode;Execute;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Core 3.1;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Job-UHCSTJ(Runtime=.NET Core 3.1);;1;Workload;Jitting;2;57526000;16;3595375
ParallelCode.Execute;CodeSharp.Concurrency.BackgroundWorkers;ParallelCode;Execute;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Core 3.1;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Job-UHCSTJ(Runtime=.NET Core 3.1);;1;Workload;Pilot;1;81793800;16;5112112.5
ParallelCode.Execute;CodeSharp.Concurrency.BackgroundWorkers;ParallelCode;Execute;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Core 3.1;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Job-UHCSTJ(Runtime=.NET Core 3.1);;1;Workload;Pilot;2;172132000;32;5379125
ParallelCode.Execute;CodeSharp.Concurrency.BackgroundWorkers;ParallelCode;Execute;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Core 3.1;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Job-UHCSTJ(Runtime=.NET Core 3.1);;1;Workload;Pilot;3;357152500;64;5580507.81
ParallelCode.Execute;CodeSharp.Concurrency.BackgroundWorkers;ParallelCode;Execute;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Core 3.1;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Job-UHCSTJ(Runtime=.NET Core 3.1);;1;Workload;Pilot;4;778427400;128;6081464.06
ParallelCode.Execute;CodeSharp.Concurrency.BackgroundWorkers;ParallelCode;Execute;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Core 3.1;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Job-UHCSTJ(Runtime=.NET Core 3.1);;1;Overhead;Warmup;1;3200;128;25
ParallelCode.Execute;CodeSharp.Concurrency.BackgroundWorkers;ParallelCode;Execute;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Core 3.1;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Job-UHCSTJ(Runtime=.NET Core 3.1);;1;Overhead;Warmup;2;600;128;4.69
